0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,12.2,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,0.0,0.0,0.0,0.0,5.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,3.0,5.0,NaN,0.0
0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,39.4,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1,0.0,4.0,0.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,0.0,NaN,0.0,0.0,56.8,0.0,0.0,0.0,0.0,0.0
NaN,0.0,5.0,1.0,NaN,0.0,0.0,0.0,0.0,2.0,NaN,0.0,0.0,0.0,2.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,22.6,0.0,0.0,5.0,0.0,2.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.6,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,17.6,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,0.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,11.8,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.8,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,22.5,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,22.3,44.7,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,51.7,47.2,0.0,0.0,0.0,14.6,0.0,0.0,0.0,0.0,0.0,5.0,0.0
0.0,0.0,0.0,48.3,NaN,4.0,0.0,0.0,21.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0
3.0,0.0,13.4,NaN,NaN,4.0,0.0,1.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,21.2,NaN,NaN,0.0,4.0,NaN,NaN,0.0,0.0,0.0,0.0,2.0,0.0,0.0
NaN,0.0,34.2,NaN,20.5,0.0,0.0,4.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,40.2,NaN,19.1,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NaN,0.0,45.8,39.5,14.2,0.0,0.0,0.0,58.2,0.0,0.0,0.0,0.0,5.0,0.0,0.0
0.0,0.0,66.7,53.6,10.7,0.0,0.0,0.0,45.3,0.0,0.0,0.0,3.0,0.0,1.0,0.0
0.0,NaN,75.5,26.2,5.3,0.0,0.0,0.0,27.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,NaN,14.4,2.0,0.0,0.0,0.0,29.2,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2.0,0.0,NaN,1.0,0.0,NaN,0.0,0.0,14.2,0.0,0.0,0.0,0.0,0.0,5.0,0.0
0.0,0.0,NaN,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,NaN,NaN,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,55.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,36.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,31.3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,28.1,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,NaN,0.0
0.0,0.0,28.6,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.0,19.4,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0.0,0.0,9.7,0.0,0.0,0.0,4.0,0.0,NaN,0.0,0.0,0.0,2.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,1.0,0.0,0.0,0.0
